Disaster Subtype_Ground movement,Continent_Africa,Continent_Americas,Continent_Asia,Continent_Europe,Continent_Oceania,Dis Mag Value,Latitude,Longitude,Dead
1,0,0,0,1,0,5,43.2,-0.5,Low
1,0,0,0,1,0,6,39.5,21.2,Low
1,0,0,1,0,0,6,-8.965,113.017,Very High
1,0,0,1,0,0,7,17.412,73.885,Extreme
1,0,0,0,1,0,7,39.368,24.957,Medium
1,0,0,0,0,1,7,-31.566,117.071,Medium
0,0,0,1,0,0,8,0.157,119.802,Extreme
1,0,0,1,0,0,6,22.317,111.8,Extreme
1,1,0,0,0,0,6,11.9,41.21,Medium
0,0,0,1,0,0,7,-3.201,118.904,Very High
1,0,0,1,0,0,7,24.185,102.543,Extreme
1,0,1,0,0,0,7,6.375,-77.438,Extreme
1,0,1,0,0,0,7,-4.026,-80.542,Medium
1,0,0,1,0,0,5,21.7,73,Medium
1,0,1,0,0,0,8,-32.601,-71.076,Very High
1,0,1,0,0,0,7,10.679,-84.759,Medium
1,0,0,1,0,0,7,40.641,122.58,Extreme
1,0,0,1,0,0,7,32.455,78.43,High
1,0,0,1,0,0,6,36.61,67.79,High
1,0,0,1,0,0,6,30.37,104.06,High
1,0,1,0,0,0,6,30.37,104.06,Low
1,0,1,0,0,0,7,0.782,79.804,Low
1,0,1,0,0,0,7,0.14,78.3,Low
1,0,0,1,0,0,7,-4.603,140.091,Extreme
1,0,0,1,0,0,7,-8.17,114.888,Extreme
1,0,0,1,0,0,7,-4.517,139.918,Extreme
1,0,0,1,0,0,8,-11.164,118.378,Extreme
1,0,1,0,0,0,7,-31.028,-67.767,Very High
1,0,0,0,1,0,6,45.77,26.76,Medium
1,0,0,1,0,0,6,45.77,26.76,Low
1,0,0,0,1,0,6,40.739,23.229,High
0,0,0,1,0,0,8,40.5,142.5,Medium
1,0,0,0,1,0,6,40.8,72.3,Extreme
1,0,0,1,0,0,6,39.09,42.3,Extreme
0,0,0,1,0,0,7,37.4,142.6,High
1,0,0,0,1,0,7,38.67,16.07,Extreme
1,0,1,0,0,0,8,37.67,-122.48,Extreme
1,0,0,1,0,0,7,23.6,170.5,Extreme
1,0,1,0,0,0,7,18.2,-76.8,Extreme
1,0,0,0,1,0,7,18.2,-76.8,Extreme
1,0,0,1,0,0,8,33.55,48.48,Extreme
1,1,0,0,0,0,8,35.34,-5.22,Very High
1,0,0,1,0,0,8,40.41,27.15,Extreme
1,0,1,0,0,0,6,-14.2,-72.9,Extreme
1,0,0,0,1,0,7,43.5,25.5,Extreme
1,0,0,1,0,0,7,39.2,139.8,Very High
1,0,1,0,0,0,6,32.47,-115.33,Low
1,0,0,1,0,0,8,8.29,124.4,Very High
1,0,1,0,0,0,8,18.06,-67.54,Extreme
1,0,0,0,1,0,6,44.3,10.3,Extreme
1,0,0,1,0,0,6,35.2,59.2,Extreme
1,0,1,0,0,0,6,34.25,119.41,Medium
1,0,0,1,0,0,6,31.922,35.633,Extreme
1,0,0,1,0,0,7,35.632,135.013,Extreme
1,0,0,0,1,0,7,35.632,135.013,Extreme
1,0,0,1,0,0,7,38.25,27.1,High
1,0,0,0,0,1,8,-41.55,172.25,Medium
1,0,0,1,0,0,7,37.8,57.8,Extreme
1,0,0,1,0,0,8,17.86,96.43,Extreme
1,0,0,1,0,0,7,38.087,44.781,Extreme
1,0,0,0,1,0,6,40.922,15.377,Extreme
1,0,0,1,0,0,7,35.05,139.129,Extreme
1,0,0,1,0,0,7,18.233,96.298,High
1,0,1,0,0,0,6,13.2,-85.7,Extreme
1,0,0,0,0,1,7,-39.659,176.42,Extreme
0,0,0,0,0,1,8,11.117,161.11,High
1,0,1,0,0,0,6,33.62,117.97,Extreme
0,0,0,1,0,0,8,39.224,144.622,Extreme
1,0,0,0,1,0,8,39.224,144.622,Extreme
1,0,0,1,0,0,6,24.3,124.3,Extreme
1,0,0,1,0,0,7,24.6,120.8,Extreme
1,0,0,1,0,0,7,39.508,33.872,Extreme
1,0,0,1,0,0,6,39.7,10.4,Medium
1,0,0,1,0,0,6,39.209,27.164,Very High
1,0,1,0,0,0,8,-10.5,-77,Extreme
1,0,0,0,1,0,7,45.8,26.8,Extreme
1,0,0,1,0,0,7,38.4,35.5,High
1,0,1,0,0,0,7,32.733,-115.5,Low
1,0,0,1,0,0,7,22.408,99.814,Medium
1,0,0,1,0,0,7,40.87,36.732,Extreme
1,0,0,1,0,0,7,35.448,133.993,Extreme
1,0,1,0,0,0,5,-14.2,-71.5,Extreme
1,0,0,1,0,0,8,40.916,33.562,Extreme
0,0,0,1,0,0,8,33.682,36.204,Extreme
1,0,0,1,0,0,8,40.696,32.992,Extreme
1,0,0,1,0,0,7,39.502,26.596,Medium
1,0,0,1,0,0,7,34.612,137.064,Extreme
1,0,0,1,0,0,8,24.927,63.601,Extreme
1,0,0,0,1,0,8,24.927,63.601,Extreme
1,0,0,0,1,0,8,24.927,63.601,Extreme
1,0,0,1,0,0,8,33.116,135.895,Extreme
0,0,1,0,0,0,9,53.492,-162.832,Extreme
1,0,1,0,0,0,7,-8.41,-77.535,Extreme
1,0,0,0,1,0,7,39.826,54.648,Extreme
1,0,0,1,0,0,6,39.3,41.2,Extreme
1,0,0,1,0,0,7,33.621,58.643,Extreme
1,0,1,0,0,0,8,-10.973,-74.725,Extreme
1,0,0,1,0,0,8,-10.973,-74.725,Extreme
1,0,0,1,0,0,7,36.5,136,Extreme
1,0,0,1,0,0,8,10.5,122,Very High
1,0,0,0,1,0,7,39.2,70.8,Extreme
1,0,0,1,0,0,7,39,40.5,Extreme
1,0,1,0,0,0,7,47.167,-122.617,Low
1,0,1,0,0,0,6,-13.5,-72,Very High
1,0,1,0,0,0,6,13,-87.5,Extreme
1,0,1,0,0,0,7,13.3,-87.8,Extreme
1,0,0,1,0,0,7,40.8,33.4,Very High
1,0,0,1,0,0,8,42.084,143.899,High
0,0,0,0,1,0,8,52.623,159.779,High
1,0,0,1,0,0,5,36.5,35.5,Medium
1,0,0,1,0,0,6,39.9,41.7,Extreme
1,0,1,0,0,0,8,34.958,-118.998,Medium
1,0,1,0,0,0,6,35.333,-118.917,Low
0,0,1,0,0,0,6,35.333,-118.917,Low
1,0,0,1,0,0,7,35.385,54.979,Extreme
1,0,1,0,0,0,7,-3.552,-80.636,Low
1,0,0,1,0,0,7,40.175,27.648,Extreme
1,0,0,1,0,0,7,13,123.9,Medium
1,0,0,1,0,0,6,7.674,124.081,Extreme
1,0,0,1,0,0,6,27.407,54.462,Extreme
1,0,0,1,0,0,6,35.5,35.5,Extreme
1,0,1,0,0,0,8,16.5,-99.1,Extreme
1,0,0,1,0,0,8,33.4,52.5,High
1,0,0,1,0,0,7,36100,52700,Extreme
1,0,0,1,0,0,7,34.3,47.8,Extreme
1,0,0,1,0,0,8,45.5,99.5,Extreme
1,1,0,0,0,0,6,36.2,8.9,Medium
1,0,0,1,0,0,7,40.7,30.9,Very High
1,0,0,1,0,0,7,34.4,47.9,Extreme
1,0,1,0,0,0,7,-16.5,-72,Medium
1,0,1,0,0,0,7,44.712,-111.215,Medium
1,0,1,0,0,0,6,18.22,-94.416,Medium
0,0,0,1,0,0,6,18.22,-94.416,Extreme
1,0,1,0,0,0,8,-15.75,-72.75,Very High
0,0,1,0,0,0,10,-15.75,-72.75,Very High
1,0,0,1,0,0,6,28,54.5,Extreme
0,0,0,1,0,0,6,28,54.5,High
1,0,0,0,1,0,6,41.4,15.5,Medium
1,1,0,0,0,0,5,32.6,21,Extreme
0,0,0,1,0,0,7,38.67,139.195,Medium
0,0,1,0,0,0,9,60.908,-147.339,Extreme
1,0,1,0,0,0,7,18.136,-100.605,High
1,0,0,1,0,0,7,40.203,28.206,Medium
1,0,0,1,0,0,7,23.2,120.6,Extreme
1,1,0,0,0,0,7,2.31,32.56,Low
1,0,1,0,0,0,6,13.5,-89.3,Extreme
1,0,1,0,0,0,7,47.4,-122.3,Low
1,0,1,0,0,0,8,-10.665,-78.228,Extreme
1,0,0,1,0,0,6,29.706,80.935,Very High
1,0,0,0,1,0,6,41.2,69.1,Low
1,0,0,1,0,0,6,38.5,41.3,Medium
1,0,0,1,0,0,7,39.235,41.572,Extreme
1,1,0,0,0,0,1,0.622,29.863,Extreme
1,0,0,1,0,0,7,40.751,30.8,Extreme
1,0,0,1,0,0,7,40.5,140.43,High
1,0,1,0,0,0,6,15.5,-92.7,Medium
1,0,0,1,0,0,6,16.316,122.067,Extreme
1,0,0,1,0,0,7,41.86,32.463,Medium
1,0,0,1,0,0,5,39.2,44.3,High
1,0,0,1,0,0,7,34.158,59.083,Extreme
1,0,0,0,1,0,6,37.702,13.033,Extreme
1,0,1,0,0,0,5,12.1,-86.2,Extreme
1,0,0,0,0,1,7,-41.659,172.02,Low
1,0,1,0,0,0,7,-5.61,-77.086,Medium
1,0,0,1,0,0,6,37.1,57.9,High
1,0,1,0,0,0,7,-11.841,-75.051,Extreme
1,0,0,1,0,0,7,38.515,28.546,Very High
1,0,0,0,0,1,7,-4.999,145.396,Medium
1,0,0,1,0,0,7,37.733,55.885,Extreme
1,0,1,0,0,0,7,-4.026,-80.542,Medium
1,0,0,1,0,0,7,15.791,121.63,Medium
1,0,0,1,0,0,7,39.098,29.57,Extreme
1,0,0,0,1,0,5,42.5,11.8,Medium
1,0,0,1,0,0,6,37.6,29.8,Very High
1,0,0,1,0,0,7,38.934,40.653,Extreme
1,0,1,0,0,0,7,34.416,-118.37,Very High
1,0,0,1,0,0,7,28.415,52.765,Extreme
1,0,0,0,1,0,5,43.8,13.3,Low
1,0,1,0,0,0,6,12.184,-86.223,Extreme
1,0,0,1,0,0,6,36,73.4,Very High
1,0,1,0,0,0,6,-6.855,-76.726,Medium
1,0,1,0,0,0,8,18.481,-102.996,Very High
1,0,1,0,0,0,7,18.267,-96.598,Extreme
1,0,0,1,0,0,7,13.372,122.787,Medium
1,0,0,1,0,0,7,34.522,138.74,Medium
1,0,0,1,0,0,6,35.1,72.9,Extreme
1,0,1,0,0,0,8,-12.265,-77.795,Very High
0,0,0,0,0,1,8,-7.104,155.152,Extreme
1,0,0,1,0,0,7,38.474,40.723,Extreme
1,0,0,1,0,0,8,6.262,124.023,Extreme
1,0,0,1,0,0,6,33.8,59.15,Medium
1,0,0,0,1,0,6,66.157,-16.582,Low
1,0,0,0,1,0,7,46.356,13.275,Extreme
1,0,0,0,1,0,7,46.356,13.275,Medium
1,0,0,0,0,1,8,-28.427,-177.657,Medium
1,0,0,0,1,0,7,40.381,63.472,Medium
1,0,0,1,0,0,5,41.13,43.01,Low
1,0,0,1,0,0,5,37.7,28.89,Low
1,0,0,1,0,0,7,39.121,44.029,Extreme
1,0,0,0,0,1,7,-9.828,160.323,High
1,0,0,1,0,0,7,27.609,56.393,Extreme
1,0,0,1,0,0,6,31.98,50.68,Extreme
1,0,0,1,0,0,5,38.934,44.38,Low
1,0,0,1,0,0,5,27.69,56.57,Low
1,0,0,1,0,0,6,30.95,56.47,Extreme
1,0,0,1,0,0,7,16.773,122.327,Low
1,0,0,0,1,0,8,45.772,26.761,Extreme
1,0,0,0,0,1,7,-22.878,-175.9,Low
1,0,0,1,0,0,5,38.56,40.02,Medium
1,0,0,1,0,0,7,34.809,139.259,Medium
1,0,0,0,1,0,6,38.391,15.066,Low
1,0,0,1,0,0,8,38.19,142.028,Medium
1,0,0,1,0,0,6,16.4,43.5,Extreme
1,0,1,0,0,0,7,10.5,-68,Very High
1,0,0,0,1,0,6,42.1,21.3,Extreme
1,1,0,0,0,0,7,42.1,21.3,Medium
1,0,1,0,0,0,7,10.559,-67.33,Extreme
1,0,0,0,1,0,7,42,21.28,Low
1,0,0,0,1,0,5,42.1,19.3,Low
1,0,0,0,1,0,6,44.9,17.3,Medium
1,1,0,0,0,0,6,-33.268,19.386,Low
1,0,0,0,1,0,6,48.29,9.01,Low
1,0,1,0,0,0,5,14.321,-90.082,Low
1,0,1,0,0,0,8,1.598,-79.358,Extreme
1,0,0,0,1,0,7,42.096,19.209,High
1,0,0,1,0,0,5,31.452,119.241,High
1,0,0,1,0,0,6,41.145,108.129,High
1,0,1,0,0,0,7,4.805,-76.217,Very High
0,0,0,0,1,0,7,43.7,7.25,Medium
1,1,0,0,0,0,7,36.195,1.354,Extreme
1,0,0,0,1,0,7,38.815,-27.78,Very High
1,0,1,0,0,0,6,-1.948,-80.017,Low
1,0,0,0,1,0,6,39.203,22.729,Low
1,0,1,0,0,0,5,8.117,-72.527,Low
1,0,0,0,1,0,6,39.481,20.699,Low
1,0,0,1,0,0,7,30.927,101.098,Extreme
1,0,0,0,1,0,7,38.222,22.934,Medium
1,0,0,1,0,0,7,36.148,69.011,Extreme
1,0,0,0,1,0,6,40.883,19.59,Low
1,0,0,1,0,0,6,31.907,99.931,Low
1,0,1,0,0,0,5,14.53,87.72,Low
1,0,1,0,0,0,7,9.652,-83.688,Low
1,0,0,1,0,0,7,34.01,71.4,Medium
1,0,0,0,1,0,5,50.37,5.31,Low
1,0,1,0,0,0,7,-26.535,-70.563,Low
1,0,0,1,0,0,5,35.206,115.213,High
1,0,1,0,0,0,5,2.461,-76.686,Extreme
1,0,1,0,0,0,7,8.717,-83.123,Low
1,1,0,0,0,0,6,11.866,-13.529,Extreme
1,0,0,0,1,0,6,38.294,20.262,Extreme
1,0,0,1,0,0,6,34.26,70.28,Low
1,0,1,0,0,0,7,-33.053,-68.467,Low
1,0,1,0,0,0,8,-33.135,-71.871,Extreme
1,0,0,1,0,0,6,25.926,102.871,Medium
1,0,0,1,0,0,7,39.431,75.224,Very High
1,1,0,0,0,0,6,36.46,6.791,Medium
1,0,1,0,0,0,5,15.299,-90.863,Medium
1,0,0,0,1,0,5,43.12,25.57,Low
1,0,1,0,0,0,5,3.58,62.42,Low
1,0,0,1,0,0,6,31.24,86.847,Low
1,0,0,0,1,0,6,37.02,22.07,Medium
1,0,1,0,0,0,5,15.075,92.072,Medium
1,0,1,0,0,0,7,-19.022,-69.991,Low
1,0,1,0,0,0,7,0.151,-77.785,Extreme
1,0,1,0,0,0,6,-0.978,-78.05,Low
1,0,0,1,0,0,6,41.529,79.318,Low
1,0,0,1,0,0,5,24.924,115.608,Low
1,1,0,0,0,0,4,35.964,1.374,Low
1,0,0,0,1,0,6,37.938,20.932,Low
1,0,1,0,0,0,7,13.881,-90.45,Low
1,0,0,1,0,0,6,24.688,991.57,Low
1,0,0,1,0,0,6,38.111,106.336,Low
1,0,0,1,0,0,8,22.789,99.611,Extreme
1,1,0,0,0,0,5,36.443,2.759,Extreme
1,0,1,0,0,0,6,13.881,-90.45,Extreme
1,0,0,1,0,0,6,32.14,49.65,High
1,0,1,0,0,0,8,16.01,-96.591,Low
1,0,0,1,0,0,8,-1.679,136.04,Low
0,0,0,1,0,0,8,8.8,123.5,Extreme
1,0,0,1,0,0,6,8.21,115.95,High
1,0,0,1,0,0,6,-7.656,108.252,Medium
1,0,0,1,0,0,7,-3.299,102.712,Low
1,0,0,1,0,0,6,-8.39,115.889,High
1,0,0,1,0,0,7,33.897,59.472,Extreme
1,0,0,1,0,0,7,33.918,59.741,Extreme
1,0,0,1,0,0,7,33.962,59.726,Medium
1,0,0,0,1,0,6,42.812,13.061,Low
1,0,1,0,0,0,8,17.813,-101.276,Low
1,0,1,0,0,0,7,-16.39,-72.658,Medium
1,0,0,1,0,0,7,-16.39,-72.658,Medium
1,0,0,1,0,0,6,32.913,75.633,Medium
1,0,0,1,0,0,6,34.587,50.652,Medium
1,0,0,1,0,0,5,34.503,50.59,Low
1,0,0,1,0,0,6,35.4,51.26,Medium
1,0,0,0,1,0,7,40.914,15.366,Extreme
1,0,0,1,0,0,6,35.45,139.964,Low
1,0,1,0,0,0,6,32.2,-115.122,Low
1,0,1,0,0,0,7,18.211,-98.24,Very High
1,0,0,1,0,0,7,29.598,81.092,Very High
1,0,1,0,0,0,5,-13.347,-74.545,Low
1,0,0,1,0,0,7,-4.576,139.232,Extreme
1,0,0,1,0,0,6,35.693,73.594,Extreme
1,0,0,1,0,0,7,29.913,57.715,Extreme
1,0,0,1,0,0,7,30.013,57.794,Extreme
1,0,0,0,1,0,5,37.67,12.47,Extreme
1,0,0,0,1,0,5,41.051,14.601,Medium
1,0,1,0,0,0,7,18.048,-102.084,Low
1,0,0,1,0,0,4,29.856,66.962,Low
1,0,1,0,0,0,5,-13.166,-74.522,Low
1,0,1,0,0,0,5,-13.144,-74.376,Low
1,0,0,1,0,0,6,-8.405,123.08,Medium
1,0,1,0,0,0,7,13.332,-89.387,Medium
1,0,0,1,0,0,5,4.374,97.755,Medium
1,0,0,1,0,0,7,42.158,142.361,Extreme
1,0,0,0,1,0,7,42.158,142.361,Extreme
1,0,0,0,1,0,4,43.164,12.586,Extreme
1,0,1,0,0,0,7,16.558,-98.358,Low
1,0,1,0,0,0,6,-12.69,-76.065,Low
1,0,0,0,1,0,6,50.21,18.51,Low
1,0,0,1,0,0,7,18.231,120.86,Medium
1,0,0,1,0,0,5,35.953,52.264,Medium
1,0,0,1,0,0,5,35.5,139.07,Low
0,0,0,1,0,0,8,40.462,139.102,Extreme
1,0,0,1,0,0,7,5.723,94.722,Extreme
1,0,0,1,0,0,6,36.948,49.18,Low
1,0,0,0,1,0,6,40.5,14.15,Low
1,0,0,1,0,0,7,36.372,70.738,Medium
1,0,1,0,0,0,5,-4.843,-78.103,Low
1,0,0,0,0,1,6,5.392,151.868,Low
1,0,0,1,0,0,7,36.39,138.1,Medium
1,0,0,1,0,0,7,32.5,130.42,Medium
1,0,0,1,0,0,6,2.41,118.55,Low
1,0,0,1,0,0,5,1.3,98,Low
1,0,0,1,0,0,6,24.4,92.34,Medium
1,0,0,0,1,0,6,43.07,12.23,Medium
1,0,0,0,1,0,5,42.1,13.5,Low
1,0,0,0,1,0,5,37.31,15.06,Low
1,0,0,1,0,0,7,34.07,71.15,Low
1,0,0,1,0,0,6,-4.13,136.049,Low
1,0,0,1,0,0,5,28.399,52.997,Low
1,0,1,0,0,0,8,18.19,-102.533,Extreme
1,0,0,1,0,0,7,36.19,70.896,Low
1,0,1,0,0,0,6,-9.159,-78.887,Low
1,0,0,1,0,0,7,7.758,123.544,Low
1,0,0,0,0,1,7,-5.599,151.045,Low
1,0,0,0,0,1,7,4,142,Low
1,0,0,1,0,0,5,32.128,76.374,Low
1,0,0,1,0,0,6,29.962,51.582,Low
1,0,0,1,0,0,6,29.985,51.623,Low
1,0,0,1,0,0,5,27.727,66.65,Low
1,0,1,0,0,0,6,13.32,71.57,Medium
1,0,1,0,0,0,5,9.505,77.512,Low
1,0,1,0,0,0,8,13.4,89.1,Extreme
1,0,0,1,0,0,7,-8.247,124.155,Extreme
1,0,0,0,0,1,7,-6.088,147.689,Low
1,0,0,1,0,0,6,2.244,98.866,Low
1,0,0,1,0,0,5,34.076,48.266,Low
1,0,0,1,0,0,6,35.38,140.214,Low
1,0,1,0,0,0,7,33.015,-115.852,Low
1,0,0,0,0,1,7,-37.965,176.765,Low
1,0,0,1,0,0,6,29.974,51.679,Low
1,0,0,1,0,0,6,30.89,50.194,Low
1,0,0,1,0,0,7,26.755,86.616,Extreme
1,0,0,1,0,0,5,36.69,39.79,Extreme
1,0,0,0,1,0,7,42.096,19.209,Extreme
1,0,0,0,1,0,6,42.255,18.752,Extreme
1,0,0,0,1,0,6,43.294,20.837,Extreme
1,0,1,0,0,0,5,8.045,-72.441,Extreme
1,0,0,0,1,0,6,44.849,17.312,Extreme
1,0,0,1,0,0,6,14.701,44.379,Extreme
1,0,1,0,0,0,6,19.43,-155.454,Extreme
1,0,0,0,1,0,5,39.042,48.714,Extreme
1,0,0,1,0,0,7,40.33,42.187,Extreme
1,0,1,0,0,0,5,36.219,-120.317,Extreme
1,0,1,0,0,0,5,43.974,-113.916,Low
1,0,0,0,1,0,5,41.959,21.54,Medium
1,0,0,0,1,0,7,41.959,21.54,Medium
1,0,0,1,0,0,7,40.89,42.22,Low
1,0,0,1,0,0,5,40.55,42.4,Low
1,0,0,0,1,0,7,36.19,70.896,Low
1,0,0,0,1,0,6,40.301,69.823,Medium
1,0,0,1,0,0,4,40.31,42.307,Medium
1,0,0,0,1,0,5,41.581,22.254,Medium
1,0,0,0,1,0,6,26,46.5,Low
1,0,0,0,1,0,6,41.431,43.737,Low
1,0,0,1,0,0,6,37.993,37.806,Medium
1,0,0,1,0,0,6,37.931,28.574,Medium
1,0,0,1,0,0,6,37.931,28.574,Medium
1,0,1,0,0,0,6,32.978,117.858,Medium
1,0,1,0,0,0,6,32.978,117.858,Low
1,0,1,0,0,0,6,10.77,69.428,Low
1,0,1,0,0,0,6,34.061,-118.079,Low
1,0,1,0,0,0,7,33.013,115.838,Low
1,1,0,0,0,0,7,3.02,30.56,Low
1,0,0,0,1,0,6,41.246,19.63,Low
1,1,0,0,0,0,6,36.788,2.448,Medium
1,0,0,0,0,1,5,-32.967,151.619,Medium
1,0,0,1,0,0,5,21.861,89.763,Low
1,0,0,1,0,0,6,29.987,99.195,Low
1,0,0,1,0,0,5,39.893,113.884,Medium
1,0,0,1,0,0,6,23.553,99.526,Low
1,0,0,1,0,0,5,29.882,106.804,Low
1,0,0,1,0,0,6,31.583,102.433,Low
1,0,1,0,0,0,5,0.259,78.449,Low
1,0,0,0,1,0,7,45.841,26.668,Low
1,0,0,1,0,0,6,37.001,103.863,Low
1,0,0,1,0,0,7,35.986,100.245,Extreme
1,0,1,0,0,0,6,9.869,84.302,Low
1,0,1,0,0,0,7,9.919,84.808,Low
1,0,0,0,0,1,7,22.122,175.163,Low
1,0,0,0,0,1,6,21.363,176.582,Low
1,0,0,1,0,0,5,37.457,68.273,Medium
1,0,1,0,0,0,6,9.685,83.073,High
1,0,0,1,0,0,6,38.993,70.423,Extreme
1,0,0,1,0,0,7,40.3,78.9,Extreme
1,0,0,1,0,0,6,39.8,173.9,Low
1,0,1,0,0,0,7,3.554,77.442,Low
1,0,1,0,0,0,5,9.59,84.04,Low
1,0,1,0,0,0,6,9.542,82.418,Low
1,0,1,0,0,0,7,7.123,7.887,Medium
1,0,0,1,0,0,6,33.377,71.317,Medium
1,0,0,0,1,0,6,51.153,5.798,Medium
1,0,0,1,0,0,7,29.41,91.1,Medium
1,0,1,0,0,0,7,19.9,77.5,Medium
1,0,0,0,1,0,6,51.153,5.798,Low
1,1,0,0,0,0,5,36.5,3,Low
1,1,0,0,0,0,6,29.888,31.223,Extreme
1,0,0,1,0,0,6,23.027,101.062,Extreme
1,0,0,1,0,0,5,23.027,101.062,Extreme
1,0,1,0,0,0,6,6.47,-71.21,Low
1,0,1,0,0,0,4,9.59,84.04,Low
1,0,1,0,0,0,8,13.841,67.553,Low
1,0,1,0,0,0,6,30,76.2,Extreme
1,0,0,1,0,0,6,37,67,Extreme
1,0,0,0,0,1,7,-10.199,160.855,Low
1,0,0,1,0,0,6,-4.511,139.022,Extreme
1,0,0,1,0,0,6,30.96,51.421,Extreme
1,0,0,0,1,0,5,38.465,68.694,Extreme
1,0,0,1,0,0,5,1.031,126.189,Extreme
1,0,0,1,0,0,6,-8.081,125.129,Extreme
1,0,0,1,0,0,6,30.167,50.921,Very High
1,0,1,0,0,0,7,16.773,-99.328,Low
1,1,0,0,0,0,6,13.45,34.29,Low
1,0,0,1,0,0,6,3.908,97.457,Low
1,0,0,1,0,0,8,15.658,121.227,Extreme
1,1,0,0,0,0,7,5.041,32.109,Extreme
1,0,0,1,0,0,7,9.725,124.625,Low
1,0,1,0,0,0,7,-6.016,-77.229,Extreme
1,0,0,0,1,0,5,52.314,2.985,Extreme
1,0,0,0,1,0,6,40.9,22.5,Low
1,0,0,0,1,0,5,38,23.44,Low
1,0,0,1,0,0,8,1.186,122.857,Low
1,0,0,1,0,0,6,9.904,101.12,Low
1,0,0,1,0,0,7,28.251,55.462,Medium
1,0,0,0,1,0,5,40.38,15.48,Low
1,0,0,0,1,0,5,37.3,15.438,Medium
1,1,0,0,0,0,7,5.289,31.859,Medium
1,0,1,0,0,0,6,11.426,86.301,Medium
1,0,0,1,0,0,7,35.121,70.486,Medium
1,0,0,1,0,0,6,28.925,66.331,Medium
1,0,0,1,0,0,6,27.429,65.79,Medium
1,0,0,1,0,0,7,11.76,121.899,Low
