Dis Mag Value,Latitude,Longitude,Affected
6,40.8,72.3,Extreme
6,39.09,42.3,Extreme
7,37.4,142.6,Extreme
7,38.67,16.07,Extreme
8,37.67,-122.48,Extreme
7,23.6,170.5,Extreme
7,18.2,-76.8,Extreme
7,18.2,-76.8,Extreme
8,33.55,48.48,Extreme
8,35.34,-5.22,Extreme
8,40.41,27.15,Extreme
6,-14.2,-72.9,Extreme
7,43.5,25.5,Extreme
7,39.2,139.8,Extreme
6,32.47,-115.33,Extreme
8,8.29,124.4,Extreme
8,18.06,-67.54,Extreme
6,44.3,10.3,Extreme
6,35.2,59.2,Extreme
6,34.25,119.41,Extreme
6,31.922,35.633,Extreme
7,35.632,135.013,Extreme
7,35.632,135.013,Extreme
7,38.25,27.1,Very High
8,-41.55,172.25,Very High
7,37.8,57.8,Extreme
8,17.86,96.43,Extreme
7,38.087,44.781,Extreme
6,40.922,15.377,Extreme
7,35.05,139.129,Extreme
7,18.233,96.298,Extreme
6,13.2,-85.7,Extreme
7,-39.659,176.42,Extreme
8,11.117,161.11,Extreme
6,33.62,117.97,Extreme
8,39.224,144.622,Extreme
8,39.224,144.622,Extreme
6,24.3,124.3,Extreme
7,24.6,120.8,Extreme
7,39.508,33.872,Extreme
6,39.7,10.4,Extreme
6,39.209,27.164,Medium
8,-10.5,-77,Extreme
7,45.8,26.8,Extreme
7,38.4,35.5,Extreme
7,32.733,-115.5,Extreme
7,22.408,99.814,Extreme
7,40.87,36.732,Extreme
7,35.448,133.993,Extreme
5,-14.2,-71.5,Extreme
8,40.916,33.562,Extreme
8,33.682,36.204,Extreme
8,40.696,32.992,Extreme
7,39.502,26.596,Extreme
7,34.612,137.064,Extreme
8,24.927,63.601,Extreme
8,24.927,63.601,Extreme
8,24.927,63.601,Extreme
8,33.116,135.895,Extreme
9,53.492,-162.832,Extreme
7,-8.41,-77.535,Extreme
7,39.826,54.648,Extreme
6,39.3,41.2,Extreme
7,33.621,58.643,Extreme
8,-10.973,-74.725,Extreme
8,-10.973,-74.725,Extreme
7,36.5,136,Extreme
8,10.5,122,Extreme
7,39.2,70.8,Extreme
7,39,40.5,Extreme
7,47.167,-122.617,Extreme
6,-13.5,-72,High
6,13,-87.5,High
7,13.3,-87.8,High
7,40.8,33.4,High
8,42.084,143.899,High
8,52.623,159.779,High
5,36.5,35.5,High
6,39.9,41.7,Very High
8,34.958,-118.998,High
6,35.333,-118.917,Very High
6,35.333,-118.917,Very High
7,35.385,54.979,Very High
7,-3.552,-80.636,Extreme
7,40.175,27.648,Extreme
7,13,123.9,High
6,7.674,124.081,Extreme
6,27.407,54.462,Extreme
6,35.5,35.5,High
8,16.5,-99.1,Medium
8,33.4,52.5,Medium
7,36100,52700,Extreme
7,34.3,47.8,Extreme
8,45.5,99.5,Extreme
6,36.2,8.9,Extreme
7,40.7,30.9,High
7,34.4,47.9,Extreme
7,-16.5,-72,Extreme
7,44.712,-111.215,Extreme
6,18.22,-94.416,High
6,18.22,-94.416,High
8,-15.75,-72.75,High
10,-15.75,-72.75,High
6,28,54.5,High
6,28,54.5,High
6,41.4,15.5,Extreme
5,32.6,21,Extreme
7,38.67,139.195,Extreme
9,60.908,-147.339,Extreme
7,18.136,-100.605,Extreme
7,40.203,28.206,Extreme
7,23.2,120.6,Extreme
7,2.31,32.56,Extreme
6,13.5,-89.3,Extreme
7,47.4,-122.3,Extreme
8,-10.665,-78.228,Extreme
6,29.706,80.935,Extreme
6,41.2,69.1,Extreme
6,38.5,41.3,Extreme
7,39.235,41.572,Extreme
1,0.622,29.863,Extreme
7,40.751,30.8,Extreme
7,40.5,140.43,Extreme
6,15.5,-92.7,Extreme
6,16.316,122.067,Very High
7,41.86,32.463,Extreme
5,39.2,44.3,Extreme
7,34.158,59.083,Extreme
6,37.702,13.033,Extreme
5,12.1,-86.2,Extreme
7,-41.659,172.02,Extreme
7,-5.61,-77.086,Extreme
6,37.1,57.9,Extreme
7,-11.841,-75.051,Extreme
7,38.515,28.546,Extreme
7,-4.999,145.396,Extreme
7,37.733,55.885,Extreme
7,-4.026,-80.542,Extreme
7,15.791,121.63,High
7,39.098,29.57,Extreme
5,42.5,11.8,Extreme
6,37.6,29.8,Extreme
7,38.934,40.653,Extreme
7,34.416,-118.37,Extreme
7,28.415,52.765,Extreme
5,43.8,13.3,Extreme
6,12.184,-86.223,Extreme
6,36,73.4,Extreme
6,-6.855,-76.726,Extreme
8,18.481,-102.996,Extreme
7,18.267,-96.598,Extreme
7,13.372,122.787,Medium
7,34.522,138.74,Medium
6,35.1,72.9,Extreme
8,-12.265,-77.795,Extreme
8,-7.104,155.152,Extreme
7,38.474,40.723,Extreme
8,6.262,124.023,Extreme
6,33.8,59.15,Extreme
6,66.157,-16.582,Low
7,46.356,13.275,Extreme
7,46.356,13.275,Extreme
8,-28.427,-177.657,Extreme
7,40.381,63.472,Extreme
5,41.13,43.01,Low
5,37.7,28.89,Extreme
7,39.121,44.029,Extreme
7,-9.828,160.323,Extreme
7,27.609,56.393,Extreme
6,31.98,50.68,Extreme
5,38.934,44.38,Low
5,27.69,56.57,Low
6,30.95,56.47,Extreme
7,16.773,122.327,Extreme
8,45.772,26.761,Extreme
7,-22.878,-175.9,Extreme
5,38.56,40.02,Extreme
7,34.809,139.259,Extreme
6,38.391,15.066,Extreme
8,38.19,142.028,Extreme
6,16.4,43.5,Extreme
7,10.5,-68,Extreme
6,42.1,21.3,Extreme
7,42.1,21.3,Extreme
7,10.559,-67.33,Extreme
7,42,21.28,Extreme
5,42.1,19.3,Extreme
6,44.9,17.3,Extreme
6,-33.268,19.386,Extreme
6,48.29,9.01,Very High
5,14.321,-90.082,Extreme
8,1.598,-79.358,Extreme
7,42.096,19.209,Extreme
5,31.452,119.241,Extreme
6,41.145,108.129,Extreme
7,4.805,-76.217,Extreme
7,43.7,7.25,Low
7,36.195,1.354,Extreme
7,38.815,-27.78,Extreme
6,-1.948,-80.017,Low
6,39.203,22.729,Low
5,8.117,-72.527,Low
6,39.481,20.699,Extreme
7,30.927,101.098,Extreme
7,38.222,22.934,Extreme
7,36.148,69.011,Extreme
6,40.883,19.59,Extreme
6,31.907,99.931,Low
5,14.53,87.72,Extreme
7,9.652,-83.688,Extreme
7,34.01,71.4,Extreme
5,50.37,5.31,Extreme
7,-26.535,-70.563,Extreme
5,35.206,115.213,Extreme
5,2.461,-76.686,Extreme
7,8.717,-83.123,Extreme
6,11.866,-13.529,Extreme
6,38.294,20.262,Extreme
6,34.26,70.28,Low
7,-33.053,-68.467,Extreme
8,-33.135,-71.871,Extreme
6,25.926,102.871,Very High
7,39.431,75.224,Extreme
6,36.46,6.791,Extreme
5,15.299,-90.863,Extreme
5,43.12,25.57,Extreme
5,3.58,62.42,Extreme
6,31.24,86.847,Very High
6,37.02,22.07,Extreme
5,15.075,92.072,Extreme
7,-19.022,-69.991,Extreme
7,0.151,-77.785,Extreme
6,-0.978,-78.05,Low
6,41.529,79.318,Extreme
5,24.924,115.608,Extreme
4,35.964,1.374,Extreme
6,37.938,20.932,Low
7,13.881,-90.45,Extreme
6,24.688,991.57,Medium
6,38.111,106.336,Extreme
8,22.789,99.611,Extreme
5,36.443,2.759,Very High
6,13.881,-90.45,Extreme
6,32.14,49.65,Medium
8,16.01,-96.591,Extreme
8,-1.679,136.04,Extreme
8,8.8,123.5,Low
6,8.21,115.95,Extreme
6,-7.656,108.252,Extreme
7,-3.299,102.712,Extreme
6,-8.39,115.889,Extreme
7,33.897,59.472,Extreme
7,33.918,59.741,Extreme
7,33.962,59.726,Low
6,42.812,13.061,Extreme
8,17.813,-101.276,Extreme
7,-16.39,-72.658,Extreme
7,-16.39,-72.658,Extreme
6,32.913,75.633,Low
6,34.587,50.652,Low
5,34.503,50.59,Medium
6,35.4,51.26,Medium
7,40.914,15.366,Extreme
6,35.45,139.964,Medium
6,32.2,-115.122,Medium
7,18.211,-98.24,Extreme
7,29.598,81.092,Extreme
5,-13.347,-74.545,Extreme
7,-4.576,139.232,Extreme
6,35.693,73.594,Extreme
7,29.913,57.715,Extreme
7,30.013,57.794,Extreme
5,37.67,12.47,Extreme
5,41.051,14.601,Extreme
7,18.048,-102.084,Low
4,29.856,66.962,Very High
5,-13.166,-74.522,Extreme
5,-13.144,-74.376,Low
6,-8.405,123.08,Extreme
7,13.332,-89.387,Extreme
5,4.374,97.755,Extreme
7,42.158,142.361,Extreme
7,42.158,142.361,Extreme
4,43.164,12.586,Extreme
7,16.558,-98.358,Low
6,-12.69,-76.065,Low
6,50.21,18.51,Extreme
7,18.231,120.86,Extreme
5,35.953,52.264,Extreme
5,35.5,139.07,Low
8,40.462,139.102,Medium
7,5.723,94.722,Medium
6,36.948,49.18,Extreme
6,40.5,14.15,Extreme
7,36.372,70.738,Extreme
5,-4.843,-78.103,Extreme
6,5.392,151.868,Extreme
7,36.39,138.1,Extreme
7,32.5,130.42,Low
6,2.41,118.55,Medium
5,1.3,98,Extreme
6,24.4,92.34,Extreme
6,43.07,12.23,Extreme
5,42.1,13.5,Extreme
5,37.31,15.06,Extreme
7,34.07,71.15,Low
6,-4.13,136.049,Low
5,28.399,52.997,Extreme
8,18.19,-102.533,Extreme
7,36.19,70.896,Extreme
6,-9.159,-78.887,Extreme
7,7.758,123.544,High
7,-5.599,151.045,High
7,4,142,Extreme
5,32.128,76.374,Low
6,29.962,51.582,Extreme
6,29.985,51.623,Extreme
5,27.727,66.65,Extreme
6,13.32,71.57,Extreme
5,9.505,77.512,Medium
8,13.4,89.1,Extreme
7,-8.247,124.155,Extreme
7,-6.088,147.689,Extreme
6,2.244,98.866,Extreme
5,34.076,48.266,Low
6,35.38,140.214,Extreme
7,33.015,-115.852,Extreme
7,-37.965,176.765,Extreme
7,26.755,616,Extreme
6,29.974,51.679,Extreme
6,30.89,50.194,Extreme
7,26.755,86.616,Extreme
5,36.69,39.79,Extreme
7,42.096,19.209,Extreme
6,42.255,18.752,Medium
6,43.294,20.837,Extreme
5,8.045,-72.441,High
6,44.849,17.312,Low
6,14.701,44.379,Extreme
6,19.43,-155.454,Low
5,39.042,48.714,Extreme
7,40.33,42.187,Extreme
5,36.219,-120.317,Extreme
5,43.974,-113.916,Low
5,41.959,21.54,Low
7,41.959,21.54,Extreme
7,40.89,42.22,Extreme
5,40.55,42.4,Extreme
7,36.19,70.896,Extreme
6,40.301,69.823,Extreme
4,40.31,42.307,Extreme
5,41.581,22.254,Extreme
6,26,46.5,Extreme
6,41.431,43.737,Extreme
6,37.993,37.806,Extreme
6,37.931,28.574,Extreme
6,37.931,28.574,Low
6,32.978,117.858,High
6,32.978,117.858,Extreme
6,10.77,69.428,High
6,34.061,-118.079,Extreme
7,33.013,115.838,Medium
7,3.02,30.56,Extreme
6,41.246,19.63,Extreme
6,36.788,2.448,Extreme
5,-32.967,151.619,Extreme
5,21.861,89.763,Medium
6,29.987,99.195,Extreme
5,39.893,113.884,Extreme
6,23.553,99.526,Extreme
5,29.882,106.804,Extreme
6,31.583,102.433,Extreme
5,0.259,78.449,Extreme
7,45.841,26.668,Extreme
6,37.001,103.863,Extreme
7,35.986,100.245,Extreme
6,9.869,84.302,Extreme
7,9.919,84.808,Extreme
7,22.122,175.163,Extreme
6,21.363,176.582,Extreme
5,37.457,68.273,Extreme
6,9.685,83.073,Extreme
6,38.993,70.423,Extreme
7,40.3,78.9,Extreme
6,39.8,173.9,Extreme
7,3.554,77.442,Extreme
5,9.59,84.04,High
6,9.542,82.418,High
7,7.123,7.887,Extreme
6,33.377,71.317,Extreme
6,51.153,5.798,Extreme
7,29.41,91.1,Extreme
7,19.9,77.5,Extreme
6,51.153,5.798,Extreme
5,36.5,3,Extreme
6,29.888,31.223,Extreme
6,23.027,101.062,Extreme
5,23.027,101.062,Extreme
6,6.47,-71.21,Extreme
4,9.59,84.04,Very High
8,13.841,67.553,Very High
6,30,76.2,Extreme
6,37,67,Extreme
7,-10.199,160.855,Extreme
6,-4.511,139.022,Extreme
6,30.96,51.421,Extreme
5,38.465,68.694,Extreme
5,1.031,126.189,Extreme
6,-8.081,125.129,High
6,30.167,50.921,Very High
7,16.773,-99.328,Extreme
6,13.45,34.29,Extreme
6,3.908,97.457,Extreme
8,15.658,121.227,Extreme
7,5.041,32.109,Extreme
7,9.725,124.625,Extreme
7,-6.016,-77.229,Extreme
5,52.314,2.985,Extreme
6,40.9,22.5,Medium
5,38,23.44,Low
8,1.186,122.857,Extreme
6,9.904,101.12,High
7,28.251,55.462,Extreme
5,40.38,15.48,Low
5,37.3,15.438,Extreme
7,5.289,31.859,Extreme
6,11.426,86.301,Extreme
7,35.121,70.486,Very High
6,28.925,66.331,Low
6,27.429,65.79,Low
7,11.76,121.899,Low
7,3.5,144,Low
7,45.841,26.668,Extreme
7,45.841,26.668,Extreme
7,47.892,85.12,Extreme
7,9.685,83.073,Extreme
6,42.8,44,Extreme
5,14.646,90.986,Extreme
6,30.78,78.774,Extreme
5,15.679,71.274,Extreme
6,44.888,22.407,Extreme
7,1.196,122.787,Extreme
7,8.099,125.681,Extreme
5,30.6,50.2,Extreme
6,36.12,44.01,Extreme
7,23.5,96.3,High
6,38.993,70.423,Extreme
6,9.542,82.418,Extreme
7,5.982,77.094,Extreme
6,45.5,21.3,Extreme
7,42.503,45.073,Low
5,31.726,50.778,Extreme
8,42.142,73.575,Extreme
8,8.482,121.93,Extreme
7,11.742,87.34,Extreme
5,7.138,109.067,Extreme
6,35.106,139.644,Low
7,42.01,74.01,Extreme
6,51.153,5.798,Low
6,29.3,66.7,Low
6,33.377,71.317,Extreme
8,42.851,139.197,Extreme
8,12.982,144.801,Medium
8,43.3,143.691,Extreme
6,11.652,76.53,High
7,5.889,146.202,Extreme
5,37.589,21.391,Extreme
5,38.224,21.756,Extreme
6,16.4,74.2,Extreme
5,18.12,76.533,Extreme
6,30.149,50.814,Extreme
5,32.104,60.088,Extreme
7,16.755,98.717,Extreme
5,28.723,82.28,Very High
6,15.385,31.69,Low
7,4.967,104.302,Extreme
6,29.096,52.617,Extreme
7,1.015,127.733,Extreme
6,30.853,60.596,Extreme
7,37.036,-121.88,Extreme
6,19.362,-155.083,Extreme
5,11.038,-68.27,Extreme
6,47.949,84.958,Extreme
5,40.854,73.553,Extreme
5,40.854,73.553,Extreme
7,5.345,31.908,Extreme
6,34.14,117.7,Low
4,37.885,121.983,High
7,15.465,166.385,High
7,18.318,168.063,High
7,15.319,167.396,Low
4,26.39,27.349,Low
7,42.15,42.44,Extreme
7,35.883,70.423,Extreme
7,60.7,167.2,Extreme
5,37.457,68.273,Extreme
6,34.1,118.09,Medium
4,13.887,44.068,Extreme
7,39.71,39.605,Extreme
6,41.019,72.429,Extreme
7,40.415,124.603,Medium
7,34,118.15,Very High
6,33.961,-116.32,Low
7,6.087,26.651,Extreme
6,42.314,-122.01,Extreme
7,14.385,178.252,Low
7,0.34,30.12,Extreme
6,0.593,30.037,Extreme
5,32.956,151.228,Extreme
7,22.52,118.7,Extreme
6,20.485,109.406,Extreme
6,36.028,100.104,Very High
7,4.9,73.1,Extreme
8,23.34,70.36,Extreme
7,21.966,99.196,Extreme
6,25.9,102.2,Extreme
6,36.443,103.105,Extreme
6,4.1,76.6,Extreme
5,1.12,77.17,Very High
6,35.1,32.3,Extreme
6,36,65,Extreme
7,25.04,102.41,Extreme
6,40.774,109.661,Extreme
7,39.28,76.44,Extreme
6,26.51,100.16,High
7,-30.933,-71.22,Extreme
6,33.825,59.809,Extreme
4,41.101,45.14,Extreme
6,22.212,92.702,High
6,39.474,76.998,Extreme
7,39.3,76.5,Extreme
5,39.422,76.839,Extreme
6,39.527,76.941,Extreme
6,41.083,114.5,Extreme
7,37.106,70.11,Extreme
6,37.075,70.089,Extreme
6,46.245,13.652,Extreme
6,38.717,48.507,Extreme
6,38.65,-28.626,Extreme
7,-17.731,-65.431,Extreme
6,29.21,52.5,Medium
7,10.2,13.2,Extreme
6,1.14,128.5,Extreme
8,45.1,147.51,Extreme
8,45.1,147.51,Extreme
6,35.52,0.12,Extreme
6,2.001,135.931,Medium
8,40.5,143.4,Very High
7,13.352,121.087,Extreme
6,7.972,123.189,Very High
7,40.1,21.6,High
7,34.58,135,Extreme
7,2.1,101.3,Extreme
5,2.13,79.54,Medium
7,2.7,77.8,Extreme
6,28.8,34.8,Medium
7,40.1,21.6,Extreme
6,38.4,22.2,Extreme
6,1.02,120.5,Extreme
5,37.925,139.186,Extreme
7,16.8,98.6,Extreme
8,16.2,104.1,Extreme
7,16.8,93.4,Extreme
7,21.966,99.196,Extreme
7,12.01,125.6,Extreme
8,52.5,142.9,Extreme
7,0.729,119.931,Extreme
8,1.1,137.15,Extreme
6,0.68,78.3,Extreme
6,40.03,20.45,Extreme
6,42.7,18,Extreme
7,14.9,75.7,Extreme
7,9.593,79.587,Extreme
7,33.825,59.809,Extreme
6,29.976,68.208,Extreme
6,4,119.4,Extreme
6,23.083,80.041,Extreme
6,37.661,57.291,Extreme
6,38.075,48.05,Extreme
6,33.938,71.872,Extreme
6,43,13,Extreme
7,41.4,74.2,Extreme
7,17.31,101.16,Extreme
6,18,102.5,Extreme
7,-0.593,-80.393,Extreme
7,30.154,57.605,Extreme
6,32.457,59.976,Extreme
5,43.164,12.701,Extreme
7,-2.961,141.926,Extreme
5,34.17,118.27,Very High
7,40.49,124.1,Very High
7,21.966,99.196,Very High
6,38,30.1,Extreme
6,40.754,35.34,Extreme
7,10.598,63.486,Extreme
8,-12.584,166.676,Extreme
7,11.112,60.892,Low
5,26.857,26.619,Low
6,27.308,101.029,Extreme
6,46.245,13.652,Extreme
6,3.878,35.307,Extreme
5,36.874,35.321,Extreme
6,36.479,71.086,Extreme
5,41.925,20.39,Extreme
5,26.373,104.021,Extreme
5,39.977,76.731,Extreme
6,37.388,78.843,Extreme
6,39.66,77.343,Extreme
5,27.213,101.057,Extreme
6,4.461,-75.724,Extreme
6,34.259,69.364,Extreme
5,40.802,47.448,Extreme
5,21.544,91.895,Extreme
5,41.131,114.658,Extreme
6,39.899,113.983,Extreme
5,40.459,122.889,Extreme
7,40.245,49.946,Extreme
4,21.431,91.762,Extreme
6,25.607,101.063,Extreme
5,24.263,103.797,Extreme
5,40.498,122.994,Extreme
6,37.012,103.791,Medium
5,25.826,102.194,Extreme
7,7.042,-77.829,Extreme
6,36.424,70.881,Extreme
6,29.513,101.129,Extreme
5,27.791,53.608,Extreme
6,36.479,71.086,Extreme
8,-2.071,124.891,Extreme
6,-8.194,112.413,Extreme
5,33.199,47.225,Extreme
4,11.968,86.254,Very High
7,18.386,-97.436,Extreme
7,-16.66,-72.662,Extreme
6,35.321,-1.281,Extreme
6,38.193,-1.566,Low
6,38.119,23.605,Extreme
7,15.782,88.33,Very High
7,-6.845,105.555,Extreme
7,30.512,79.403,Extreme
7,28.343,57.193,Extreme
7,29.501,51.88,Extreme
5,36.92,54.9,Very High
8,16.1,96.7,Extreme
6,18.324,-101.539,Extreme
4,-13.64,-74.43,Extreme
7,15.766,119.74,High
3,42.962,46.954,Extreme
7,43.21,46.82,Extreme
7,-4.646,102.102,Extreme
7,35.456,133.134,Extreme
7,48.786,142.246,Extreme
8,-1.105,123.573,Extreme
8,-3.98,152.169,Extreme
6,38.922,20.64,Extreme
5,-6.675,106.845,Extreme
7,-6.549,105.63,Extreme
7,-4.612,101.905,Extreme
5,35.288,58.218,Extreme
5,35.217,58.175,Extreme
7,63.98,-20.758,High
7,63.966,-20.487,Medium
6,34.221,139.131,Medium
7,18.198,-102.48,Low
5,11.884,-85.988,Extreme
8,13.049,-88.66,High
8,23.419,70.232,Extreme
5,23.419,70.232,Extreme
8,-16.423,168.214,Extreme
7,40.758,31.161,Extreme
8,23.772,120.982,Extreme
6,40.709,30.045,Extreme
5,40.709,30.045,High
5,40.711,29.949,High
6,40.74,30.26,High
6,23.445,120.506,Very High
5,37.451,69.498,Extreme
7,39.566,54.799,Extreme
5,38.164,38.777,Extreme
6,40.693,32.992,Extreme
7,-7.977,30.709,Extreme
5,38.3788333,-122.4133333,Extreme
8,13.049,-88.66,Extreme
7,13.671,-88.938,Extreme
6,24.768,99.061,Extreme
4,-9.278,33.766,Extreme
5,35.169,69.389,Very High
6,27.689,101.003,Extreme
5,24.455,102.66,Extreme
6,26.316,100.648,Extreme
6,36.429,70.438,Extreme
6,36.062,69.315,Extreme
6,35.959,69.417,Extreme
6,-28.937,-66.797,Extreme
5,30.916,99.927,Extreme
6,39.736,97.443,Extreme
4,30.2,31.41,Very High
6,39.61,77.23,Extreme
6,-6.884,146.388,Very High
8,-16.265,-73.641,Extreme
7,39.059,24.244,Very High
5,-6.99,108.275,Extreme
7,-4.68,102.562,Extreme
5,33.007,60.276,Extreme
7,34.083,132.526,Extreme
6,-15.35,-72.516,High
6,-14.258,-72.683,Extreme
6,37.238,36.206,Extreme
5,39.832,41.623,High
7,24.279,122.179,Extreme
8,-1.757,134.297,Extreme
5,41.765,44.96,Extreme
6,41.789,14.872,Extreme
5,35.517,74.654,Extreme
6,35.414,74.515,Extreme
7,13.036,93.068,High
8,6.033,124.249,Extreme
8,-3.302,142.945,Extreme
6,37.747,21.087,High
6,-1.196,121.333,Extreme
6,-1.68,134.234,High
7,2.824,96.085,Medium
5,28.093,51.755,Extreme
5,34.642,47.4,Extreme
7,35.626,49.047,Extreme
5,34.594,47.454,Extreme
6,31.995,49.329,Low
4,37.67,15.267,Extreme
6,38.381,13.701,Extreme
6,36.429,70.438,Extreme
7,-3.212,142.427,Extreme
5,-1.684,29.077,Extreme
6,42.436,21.466,Medium
5,38.673,69.902,Extreme
6,36.429,70.438,Extreme
7,38.573,31.271,Extreme
6,-2.907,33.733,Extreme
8,18.77,-104.104,Extreme
6,-8.807,118.524,Extreme
5,29.59,51.474,Extreme
6,39.5,39.878,Low
7,47.149,-122.7266667,Extreme
7,-17.6,167.856,Extreme
6,-14.49,167.827,Extreme
5,35.893,70.62,Extreme
6,22.854,92.306,Extreme
6,25.975,101.29,Extreme
6,19.777,-70.673,Extreme
6,39.16,20.605,Low
7,36.964,3.634,Extreme
6,37.529,96.476,Extreme
6,39.43,77.219,Extreme
5,43.77,119.643,Extreme
6,25.954,101.254,Extreme
6,38.383,100.975,Extreme
5,34.712,103.834,Extreme
6,27.372,103.971,Extreme
6,42.905,80.515,Extreme
5,27.283,103.753,Extreme
7,8.416,-82.824,High
6,36.939,3.578,High
7,2.354,128.855,Very High
6,1.142,128.152,Extreme
7,-3.615,135.538,Extreme
7,-3.609,135.404,Extreme
6,9.602,-84.172,Very High
8,-8.152,124.868,Extreme
5,33.426,69.524,Extreme
5,-3.393,29.558,High
9,3.295,95.982,High
6,45.382,118.256,Extreme
5,27.266,103.873,Extreme
5,25.073,99.169,Extreme
5,34.682,103.781,Extreme
6,37.506,96.758,Extreme
5,2.265,-76.595,Extreme
7,4.695,-77.508,Extreme
5,48.115,8.077,High
6,15.679,-61.706,Medium
5,36.852,3.418,Very High
5,36.848,3.448,Low
6,15.679,-61.706,High
6,-8.31,115.788,Extreme
5,-0.466,100.655,Extreme
9,2.085,97.108,Extreme
6,-1.198,119.933,Extreme
7,38.849,141.568,Extreme
7,41.774,143.593,Extreme
5,44.792,8.892,Very High
6,38.432,141.003,Extreme
7,50.038,87.813,Extreme
5,35.476,60.784,Extreme
6,28.355,54.169,Extreme
5,31.953,49.209,Extreme
6,42.946,72.764,Extreme
5,9.355,-79.941,Extreme
7,8.416,-82.824,Extreme
6,39.007,40.464,Extreme
5,38.111,28.887,Very High
6,38.221,26.958,High
7,35.7005,-121.1005,High
7,37.226,138.779,Extreme
6,36.29,51.61,Extreme
6,34.774,73.216,Extreme
5,46.296,13.641,Extreme
4,39.57,67.479,High
6,39.847,40.874,Extreme
9,3.295,95.982,Extreme
9,3.295,95.982,Extreme
9,3.295,95.982,Extreme
9,3.295,95.982,Extreme
6,35.142,-3.997,Extreme
9,3.295,95.982,Extreme
5,47.311,142.12,High
9,3.295,95.982,Extreme
9,3.295,95.982,Extreme
6,39.93,40.812,Extreme
5,39.766,43.979,Extreme
9,3.295,95.982,Extreme
7,33.807,130.131,Extreme
6,33.637,130.179,Extreme
5,13.835,-89.759,Extreme
5,37.103,54.574,High
6,30.754,56.816,Extreme
6,37.622,43.703,Extreme
6,39.354,40.89,Extreme
5,-26.913,26.789,Medium
8,34.539,73.588,Extreme
8,-19.987,-69.197,Extreme
8,34.539,73.588,Extreme
7,36.357,71.093,Extreme
5,29.671,115.688,Extreme
5,26.569,103.036,Extreme
6,26.774,55.858,Medium
6,27.095,61.887,Extreme
5,28.012,104.151,Extreme
6,0.626,99.859,Extreme
7,-3.595,127.214,Extreme
6,37.255,68.828,Extreme
5,41.708,25.544,Extreme
5,23.282,101.693,Extreme
5,27.995,104.138,Extreme
5,33.068,104.95,High
